smiles	RT
CN1C2=C(NC1=O)N(C(=O)N(C2=O)C)C	176.94
CN1C2=C(NC1=O)NC(=O)N(C2=O)C	154.14
C1=CC(=C(C(=C1)O)C(=O)O)O	225.6
CCC(C)(C(=O)O)O	146.88
C1=CC=C(C(=C1)C(=O)NCC(=O)O)O	263.28
C1=C(C=C(C=C1O)O)C(=O)O	141.0
CC(CC(=O)O)CC(=O)O	159.72
C(CCC(=O)O)CC(=O)O	155.46
C(CCCC(=O)O)CCCC(=O)O	328.86
CC(CCC(=O)O)C1CCC2C1(C(CC3C2C(CC4C3(CCC(C4)O)C)O)O)C	584.94
CC(CCC(=O)O)C1CCC2C1(C(CC3C2C(CC4C3(CCC(C4)O)C)O)O)C	584.94
C1=CC=C2C(=C1)C(=CN2)CC(C(=O)O)O	291.84
C1=CC(=CC=C1CC(C(=O)O)O)O	168.72
C1=CC(=C(C=C1O)C(=O)O)O	189.66
C1=NC2=C(N1C3C(C(C(O3)CO)O)O)N=C(NC2=O)N	85.5
C1=C(NC=N1)CC(C(=O)O)N	30.900000000000002
C1=NC2=C(N1)C(=O)NC=N2	71.94
CC(C)CC1=CC=C(C=C1)C(C)C(=O)OC2C(C(C(C(O2)C(=O)O)O)O)O	517.38
C1=CC=C2C(=C1)C(=CN2)OS(=O)(=O)O	203.7
C1=NC2=C(C(=O)N1)N=CN2C3C(C(C(O3)CO)O)O	96.66
C1=CC(=CC=C1CC(C(=O)O)N)O	82.5
CC(CC(=O)O)C(=O)O	131.16
CC(=O)NC(CCC(=O)N)C(=O)O	58.68
CC(=O)NC1=CC=C(C=C1)OC2C(C(C(C(O2)C(=O)O)O)O)O	115.02
CC(C)(CO)C(C(=O)NCCC(=O)O)O	138.84
CC(=O)NC1=CC=C(C=C1)OS(=O)(=O)O	135.6
CC1=CC=C(C=C1)OS(=O)(=O)O	252.0
CC12CCC3C(C1CCC2=O)CC=C4C3(CCC(C4)OS(=O)(=O)O)C	475.2
C1=CC=C(C(=C1)C(=O)O)O	328.86
C(CC(=O)O)C(=O)O	82.2
CN1C2=C(C(=O)N(C1=O)C)NC=N2	165.35999999999999
C(C(CC(=O)O)C(=O)O)C(=O)O	82.8
C12=C(NC(=O)N1)NC(=O)NC2=O	67.08000000000001
C1=CN(C(=O)NC1=O)C2C(C(C(O2)CO)O)O	82.91999999999999
C(C(C(C(C(C(=O)O)O)O)O)O)O	34.8
C1(C(C(OC(C1O)O)C(=O)O)O)O	32.400000000000006
C(C(C(=O)O)N)C(=O)O	31.8
C1=CC(=CC(=C1)O)C(CC(=O)O)O	174.0
CN1C2=C(NC1=O)N(C(=O)NC2=O)C	116.39999999999999
C(C(C(=O)O)O)C(=O)O	45.12
C(CC(=O)O)C(C(=O)O)N	32.400000000000006
C1=CC(=CC(=C1)O)C(=O)NCC(=O)O	163.99999998
CC(=O)NC(CCC(=O)O)C(=O)O	80.76
C1=CC=C(C=C1)CC(C(=O)O)N	122.99999999999999
C(CC(=O)O)CC(=O)O	111.60000000000001
CC(=O)NC1C(CC(OC1C(C(CO)O)O)(C(=O)O)O)O	37.2
C(CS(=O)(=O)O)N	31.8
C1C(C(C(CC1(C(=O)O)O)O)O)O	39.0
C1=NC2=C(N1)C(=O)NC(=O)N2	78.60000000000001
C1=CC(=CC=C1C(=O)NCC(=O)O)O	147.0
C(C(C(=O)O)O)(C(=O)O)O	37.2
C1CC(=O)NC1C(=O)O	75.0
C1=NC2=C(N1C3C(C(C(O3)CO)O)O)NC(=O)NC2=O	109.80000000000001
CC(=O)NC(CC(=O)O)C(=O)O	60.0
C1C2C(C(C(O2)N3C=NC4=C(N=CN=C43)N)O)OP(=O)(O1)O	97.2
CC(=O)NCCC(=O)NC(CC1=CN=CN1)C(=O)O	55.2
CC1=CC2=C(C=C1C)N(C3=NC(=O)NC(=O)C3=N2)CC(C(C(CO)O)O)O	229.2
C(C(C(C(=O)O)O)O)(C(C(=O)O)O)O	34.199999999999996
C(C(C(C(=O)O)O)O)(C(C(=O)O)O)O	34.199999999999996
C(CCC(=O)O)CCC(=O)O	207.6
C(CCCC(=O)O)CCC(=O)O	267.6
C(C1C(C(C(C(O1)OC2(C(C(C(O2)CO)O)O)CO)O)O)O)O	40.800000000000004
C1=CC(=CC=C1C(C(=O)O)O)O	94.2
COC1=C(C=CC(=C1)CC(=O)O)O	228.0
COC1=C(C=CC(=C1)C(C(=O)O)O)O	118.2
C1=CC=C(C=C1)CC(C(=O)O)O	270.59999999999997
CC(C)(C(=O)O)O	97.2
C(C(C(C(C(CO)O)O)O)O)O	34.199999999999996
C(C(C(C(C(CO)O)O)O)O)O	34.199999999999996
C(C(C(C(C(CO)O)O)O)O)O	34.199999999999996
C1=CC=C2C(=C1)C(=CN2)OC3C(C(C(C(O3)C(=O)O)O)O)O	203.4
CC(=O)NC(CCCN=C(N)N)C(=O)O	54.6
C(C(=O)O)C(CC(=O)O)(C(=O)O)O	67.5
C(C(C(C(=O)O)O)C(=O)O)C(=O)O	46.2
CC(C1CCC2C1(CCC3C2CCC4C3(CCC(C4)OC5C(C(C(C(O5)C(=O)O)O)O)O)C)C)O	553.8000000000001
C1=C(C=C(C(=C1O)O)O)C(=O)O	103.32
C1=CC=C(C=C1)CC(=O)NCC(=O)O	240.6
C1=CC(=CC=C1CC(=O)O)O	204.60000000000002
C1=CC=C(C(=C1)CC(=O)O)O	246.60000000000002
C1=CC(=CC(=C1)O)CC(=O)O	224.4
C1=CC(=CC=C1C(=O)O)O	189.60000000000002
CC(=CC(=O)O)C(=O)O	103.8
C(C(=CC(=O)O)C(=O)O)C(=O)O	78.0
CC1=CC=C(C=C1)OC2C(C(C(C(O2)C(=O)O)O)O)O	258.0
C1=CC(=CC=C1C=CC(=O)O)O	261.0
C1=CC(=CC(=C1)O)C=CC(=O)O	292.8
C1=NC(=C(N1C2C(C(C(O2)CO)O)O)N)C(=O)NC(CC(=O)O)C(=O)O	99.0
CC(C)C(=O)NCC(=O)O	124.19999999999999
C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)CO)O)O)NC(CC(=O)O)C(=O)O	138.6
C1=CC2=C(C=CN2)C=C1OS(=O)(=O)O	168.6
CC=C(C)C(=O)NCC(=O)O	175.2
CC(=O)NC(CC1=CC=C(C=C1)O)C(=O)O	178.20000000000002
CCC(C)C(C(=O)O)NC(=O)C	241.8
CC(=O)NC(CC1=CNC2=CC=CC=C21)C(=O)O	297.6
CC(C)CC(=O)C(=O)O	211.2
CCC(C)C(=O)C(=O)O	193.20000000000002
CC(CC(=O)O)(CC(=O)O)O	93.0
C1=CC(=C(C=C1CCN)O)OS(=O)(=O)O	89.4
C1=CC(=C(C=C1CCN)OS(=O)(=O)O)O	93.60000000000001
C(C(C(C(C(=O)O)O)O)O)O	36.0
C(C(C1C(=C(C(=O)O1)OS(=O)(=O)O)O)O)O	42.599999999999994
C1=C(NC(=O)NC1=O)C(=O)O	48.6
CC1=CC(=O)NS(=O)(=O)O1	114.0
C1=C(OC(=C1)C(=O)O)CO	126.0
C1=CC=C2C(=C1)C(=O)NS2(=O)=O	162.0
C1=CC=C(C=C1)OS(=O)(=O)O	180.6
CC(C)CC(=O)NCC(=O)O	184.2
CC(=O)NC(CC1=CC=CC=C1)C(=O)O	279.6
CCC1=CC=C(C=C1)OS(=O)(=O)O	343.8
CC1=CC(=C(C=C1)C(C)C)OS(=O)(=O)O	442.2
CC12CCC3C(C1CCC2=O)CC=C4C3(CCC(C4)OC5C(C(C(C(O5)C(=O)O)O)O)O)C	445.79999999999995
CC(=O)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)OS(=O)(=O)O)C)C	588.6
