smiles	RT
C(CP(=O)(O)O)N	58.8
C(CCCCC(=O)O)CCCCO	427.8
C1=CC=C2C(=C1)C=CC(=C2[O-])C(=O)O	556.8
CN1C=NC2=C(C1=N)N=CN2C3C(C(C(O3)CO)O)O	189.60000000000002
C(C(C(=O)O)N)N	142.20000000000002
C1=CC(=C(C(=C1)O)[O-])C(=O)O	295.2
CC(=O)C1=C(C=C(C=C1)O)O	381.0
C1=CN=C2C(=N1)C(=O)NC(=O)N2	134.4
C1=CC(=C(C=C1O)C(=O)O)[O-]	267.6
C1=CC(=O)NC(=C1)O	117.0
CC(=O)NC1C(C(C(OC1N)CO)O)O	574.8
CC(C)(C(=O)O)N	61.800000000000004
C1=CC=C(C(=C1)N)O	91.2
C(C=O)C(C(C(CO)O)O)O	61.800000000000004
CSCCC(C(=O)O)O	229.2
CCC(C(=O)[O-])O	142.20000000000002
C1=CC=C(C(=C1)CC(=O)O)O	267.6
CC(CCC(=O)O)C(=O)O	231.0
C(C(C(=O)O)OP(=O)(O)O)O	59.4
CCCCCCCCCC(=O)C	517.1999999999999
C1=CC=C(C(=C1)CCC(=O)[O-])O	361.2
C1=CC(=CC=C1CC(=O)C(=O)[O-])O	207.6
C1=CC(=C(C=C1C(C(=O)O)O)O)O	102.0
C1=CC(=C(C=C1C(=O)O)O)[O-]	226.2
C1=CC(=C(C=C1CC(=O)O)O)O	235.8
C1=CC(=C(C=C1C(CO)O)O)O	109.2
C1=CC(=CC=C1O)OC2=C(C=C(C=C2I)CC(C(=O)O)N)I	386.40000000000003
C1=C(C=C(C(=C1I)O)I)CC(C(=O)O)N	288.0
C1=CC(=C(C=C1C(=O)O)N)[O-]	91.2
C1=C(C=C(C=C1N)[O-])C(=O)O	97.2
C1C(C(C(=O)C=C1C(=O)O)O)O	84.6
C1=CC(=C(C(=C1)[O-])N)C(=O)O	220.8
C1=CC(=CC(=C1)[O-])C(=O)O	292.2
CC(CC(=O)O)(CC(=O)O)O	134.4
C1=CC(=CC(=C1)O)CC(=O)O	289.20000000000005
COC1=C(C=CC(=C1)C(C(=O)O)O)O	176.4
COC1=C(C=CC(=C1)CC(C(=O)O)N)O	171.6
CCC(C)C(=O)C(=O)[O-]	248.39999999999998
C1=CC(=C(C=C1CC(C(=O)O)N)[N+](=O)[O-])O	208.8
C(C(C(=O)O)O)OP(=O)(O)O	61.800000000000004
C(C(C(=O)O)N)S(=O)O	58.8
CC(=O)NCCCC(=O)[O-]	148.20000000000002
C1=CC(=CC=C1C=CC(=O)O)O	328.2
C(CC(=O)O)CN=C(N)N	83.39999999999999
C1=CC(=CC=C1C=O)O	306.6
C1=CC(=CC=C1C(=O)O)[O-]	270.59999999999997
C1=CC(=CC=C1C(C(=O)O)N)O	64.2
C1=C(NC=N1)CC(=O)O	63.6
CC1=CC(=C(C=C1)O)O	198.6
CC1=NC=C(C(=C1O)C(=O)O)CO	163.8
C1=CC=C2C(=C1)C(=CC=N2)C(=O)O	137.4
C(CC(=O)O)C(=O)CN	62.400000000000006
CC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)O	186.6
C1=CC2=C(C=C1O)C(=CN2)CC(=O)O	269.40000000000003
C(CC(C(=O)O)N)C(CN)O	54.6
