smiles	RT
CC1=NN=C(C(=O)N1)C2=CC=CC=C2	306.0
C1=C(C=C(C(=C1Br)O)Br)C#N	498.00000000000006
CC(C)C1=CC=C(C=C1)N	312.0
CC1=NN=C(C(=O)N1N)C2=CC=CC=C2	294.0
CCC1=CC=CC(=C1N2C(COCC2=O)C)C	491.99999999999994
CCN(CC)C(=O)SCC1=CC=CC=C1Cl	798.0
CCCN(CCC)C(=O)SCC1=CC=CC=C1	864.0
C1=CC(=C(C(=C1)Cl)C#N)Cl	510.0
C1=CC(=C(C(=C1)Cl)C(=O)N)Cl	240.0
CC(C1CC1)C(CN2C=NC=N2)(C3=CC=C(C=C3)Cl)O	690.0
C1=C(C=C(C(=C1I)O)I)C#N	558.0
C1=CC=C(C=C1)N2C(=O)C(=C(C=N2)N)Cl	312.0
COC=C(C1=CC=CC=C1OC2=NC=NC(=C2)OC3=CC=CC=C3C#N)C(=O)OC	594.0
CC(C)(C)C1=NN=C(N(C1=O)N)SC	414.0
CC(C)(C)C1=NNC(=O)N(C1=O)N	354.0
CC1=CC(=CC=C1)NC(=O)OC2=CC=CC(=C2)NC(=O)OC	570.0
C1=CC=C(C(=C1)C2C(O2)(CN3C=NC=N3)C4=CC=C(C=C4)F)Cl	702.0
CCCN(CCOC1=C(C=C(C=C1Cl)Cl)Cl)C(=O)N2C=CN=C2	732.0
C[Si](CN1C=NC=N1)(C2=CC=C(C=C2)F)C3=CC=C(C=C3)F	744.0
CCC1=C(C(=CC=C1)CC)N(COC)C(=O)CS(=O)(=O)O	462.0
CCC1=C(C(=CC=C1)CC)N(COC)C(=O)C(=O)O	444.0
CCC1=CC=CC(=C1N(COCC)C(=O)C(=O)O)C	450.0
CCC1=CC=CC(=C1N(COCC)C(=O)CS(=O)(=O)O)C	462.0
CCC1=CC=CC(=C1N(COCC)C(=O)CCl)C	702.0
CC1=CC(=C(C=C1)N=CN(C)C=NC2=C(C=C(C=C2)C)C)C	924.0
CCNC(=O)NC(=O)C(=NOC)C#N	336.0
C1=CC(=CC(=C1)OC2=C(C=CC=N2)C(=O)NC3=C(C=C(C=C3)F)F)C(F)(F)F	864.0
CCOC1C(C2=C(O1)C=CC(=C2)OS(=O)(=O)C)(C)C	600.0
CC1(C2=C(C=CC(=C2)OS(=O)(=O)C)OC1=O)C	360.0
C1=C(C=NC(=C1Cl)NC2=C(C=C(C(=C2[N+](=O)[O-])Cl)C(F)(F)F)[N+](=O)[O-])C(F)(F)F	954.0
CCN(CC)C(=O)C(C)OC1=CC=CC2=CC=CC=C21	702.0
CC(C(=O)OCCON=C(C)C)OC1=CC=C(C=C1)OC2=CN=C3C=C(C=CC3=N2)Cl	900.0
CCCN(CCC)C1=C(C=C(C=C1[N+](=O)[O-])C(F)(F)F)[N+](=O)[O-]	990.0
CC1=NC(=NC(=N1)OC)NC(=O)NS(=O)(=O)C2=C(SC=C2)C(=O)OC	432.0
CC1=NC(=NC(=N1)OC)N	102.0
COC(=O)C1=CC=CC=C1S(=O)(=O)N	270.0
CC1=NC(=NC(=N1)OC)NC(=O)NS(=O)(=O)C2=CC=CC=C2C(=O)OC	426.0
CN(C)C(=O)C1=C(N=CC=C1)S(=O)(=O)NC(=O)NC2=NC(=CC(=N2)OC)OC	426.0
CCS(=O)(=O)C1=C(N=CC=C1)S(=O)(=O)NC(=O)NC2=NC(=CC(=N2)OC)OC	474.0
CC(C)NC1=NC(=NC(=N1)OC)NC(C)C	402.0
CC(C)NC1=NC(=NC(=N1)SC)NC(C)C	510.0
