smiles	RT
CCNC1=NC(=NC(=N1)Cl)NC(C)C	608.04
CCOP(=S)(OCC)SCN1C(=O)C2=CC=CC=C2N=N1	693.24
C1(=NC(=NC(=O)N1)N)N	98.22
CCC(C)N1C(=O)C(=C(NC1=O)C)Br	593.52
CC(C)(C(=O)O)OC1=CC=C(C=C1)CCNC(=O)C2=CC=C(C=C2)Cl	636.5999999999999
CC1=C(C=C(C=C1)NC(=O)N(C)C)Cl	604.26
CCNC1=NC(=NC(=N1)Cl)NC(C)(C)C#N	585.8399999999999
CC(C)NC1=NC(=NC(=N1)N)Cl	530.88
CC(C)(C)NC1=NC(=NC(=N1)N)Cl	581.9399999999999
CCNC1=NC(=NC(=N1)N)Cl	478.74
CC(=CC(=O)N(C)C)OP(=O)(OC)OC	514.62
CC1COC(O1)(CN2C=NC=N2)C3=C(C=C(C=C3)OC4=CC=C(C=C4)Cl)Cl	705.42
CNC(=O)CSP(=S)(OC)OC	539.4
CN(C)C(=O)NC1=CC(=C(C=C1)Cl)Cl	613.3199999999999
CCCCC1=C(N=C(NC1=O)NCC)C	544.8
CN1C(=NC(=O)N(C1=O)C2CCCCC2)N(C)C	615.54
CC(C)C1=CC=C(C=C1)NC(=O)N(C)C	611.8199999999999
C1=CC=C2C(=C1)C=CC=C2NC(=O)C3=CC=CC=C3C(=O)O	606.54
CN(C(=O)NC1=CC(=C(C=C1)Cl)Cl)OC	630.6
CC1=C(C(=CC=C1)C)N(C(C)C(=O)OC)C(=O)COC	629.88
CC1=NN=C(C(=O)N1N)C2=CC=CC=C2	556.4399999999999
CC1=C(C(=CC=C1)C)N(CN2C=CC=N2)C(=O)CCl	635.1
CN(C(=O)NC1=CC=C(C=C1)Br)OC	611.8199999999999
CCC1=CC=CC(=C1N(C(C)COC)C(=O)CCl)C	666.78
CN(C)C(=O)NC1=CC(=C(C=C1)OC)Cl	577.26
CC(=CC(=O)NC)OP(=O)(OC)OC	478.74
CC1=CC2=C(C(=C(C=C2)Cl)C(=O)O)N=C1	560.28
CC1=C(N=C(N=C1OC(=O)N(C)C)N(C)C)C	564.1800000000001
CC1=CC(=CC=C1)NC(=O)OC2=CC=CC(=C2)NC(=O)OC	626.88
COC(=O)C1=CC=CC=C1S(=O)(=O)NC(=O)NC2=NC(=CC(=N2)OC(F)F)OC(F)F	668.28
CC(C)NC1=NC(=NC(=N1)Cl)NC(C)C	624.6
CCC(C)NC1=NC(=NC(=N1)NCC)OC	592.74
C1=CC2=C(C(=C1)Cl)N(C(=O)S2)CC(=O)O	606.54
CC1=NC(=NC(=N1)OC)N(C)C(=O)NS(=O)(=O)C2=CC=CC=C2C(=O)OC	692.46
CNC(=O)N(C)C1=NN=C(S1)C(F)(F)F	577.26
CC(C)(C)C(CCC1=CC=C(C=C1)Cl)(CN2C=NC=N2)O	659.22
CCNC1=NC(=NC(=N1)SC)NC(C)(C)C	632.88
CC(=O)CC(C1=CC=CC=C1)C2=C(C3=CC=CC=C3OC2=O)O	651.6600000000001
CC1=C(C(=CC=C1)C)N	422.28000000000003
C1=CC(=C(C(=C1)Cl)C(=O)N)Cl	478.74
CC1(CC2=C(O1)C(=CC=C2)OC(=O)NC)C	596.5799999999999
CC(C)C1(C(=O)NC(=N1)C2=C(C=CC=N2)C(=O)O)C	517.6800000000001
CC(C)C1(C(=O)NC(=N1)C2=NC3=CC=CC=C3C=C2C(=O)O)C	610.32
CCC1=CC(=C(N=C1)C2=NC(C(=O)N2)(C)C(C)C)C(=O)O	591.18
CCNC1=NC(=NC(=N1)SC)NCC	588.0600000000001
CCOC1C(C2=C(O1)C=CC(=C2)OS(=O)(=O)C)(C)C	648.66
CC(C)(C#C)NC(=O)C1=CC(=CC(=C1)Cl)Cl	635.1
CC(C)C1=CC=C(C=C1)N	497.4
CC(C)(C)C(C(N1C=NC=N1)OC2=CC=C(C=C2)C3=CC=CC=C3)O	670.5600000000001
CCOP(=S)(OCC)OC1=NC(=C(C=C1Cl)Cl)Cl	713.1
CC(C)(C)C1=NN(C(=O)O1)C2=C(C=C(C=C2)NC(=O)N(C)C)Cl	630.6
CC1=C(C=CC(=C1)Cl)N=CN(C)C	505.26
