sheet,dataset,our_mae,unirt_mae,delta_mae,our_r2,unirt_r2,delta_r2,beat_mae,beat_r2,beat_both,failure_kind,severity
S4,0019,15.589197112418509,55.847681743179,40.25848463076049,0.9778642725692552,0.844399002508424,0.1334652700608312,True,True,True,win,win
S4,0052,43.69068840571812,54.3805247180023,10.689836312284179,0.9272511205563012,0.868034256738521,0.05921686381778024,True,True,True,win,win
S4,0179,13.425382121016337,14.4970473060223,1.071665185005962,0.9622680435857447,0.966356197358779,-0.0040881537730342865,True,False,False,r2_only_loss,near_miss
S4,0180,14.384283622535497,13.15800844922,-1.2262751733154964,0.9697664604162382,0.979114628896535,-0.009348168480296848,False,False,False,mae_and_r2_loss,near_miss
S4,0234,14.135441780090332,7.98628584624644,-6.149155933843892,0.9813926601151637,0.994175800411816,-0.012783140296652284,False,False,False,mae_and_r2_loss,hard_loss
S4,0235,7.900623703002931,15.7463360786014,7.8457123755984695,0.9897679437927873,0.925984070245577,0.06378387354721027,True,True,True,win,win
S4,0260,19.371298046966096,29.4084262518663,10.037128204900203,0.9590234205232313,0.928322293605352,0.030701126917879296,True,True,True,win,win
S4,0261,26.56214530251243,10.5018130259681,-16.06033227654433,0.9460768971823473,0.967469515125277,-0.02139261794292968,False,False,False,mae_and_r2_loss,hard_loss
S4,0264,16.093986190358798,19.8886795494393,3.794693359080501,0.9370063043308043,0.965902063006602,-0.028895758675797634,True,False,False,r2_only_loss,hard_loss
S4,0317,12.217022895812988,16.870392470849,4.653369575036013,0.9669809420577131,0.956481158810966,0.010499783246747163,True,True,True,win,win
S4,0319,6.928427420164409,39.3080289416935,32.37960152152909,0.9949191101152092,0.718045195509173,0.27687391460603616,True,True,True,win,win
S4,0321,7.0761522797977205,39.2468438329974,32.17069155319968,0.9947161747322999,0.882924402374768,0.1117917723575319,True,True,True,win,win
S4,0323,7.645265808105469,24.643177580181,16.997911772075533,0.993245097383733,0.852679357972381,0.14056573941135198,True,True,True,win,win
S4,0331,9.008510789871215,16.1914367129201,7.182925923048886,0.981088709697272,0.951095962626806,0.029992747070466064,True,True,True,win,win
S5,0027,34.14209149576003,32.1128756290339,-2.029215866726126,0.9096281866558747,0.940127051948355,-0.03049886529248025,False,False,False,mae_and_r2_loss,hard_loss
S5,0183,114.82253005273881,37.0920269853065,-77.73050306743232,0.4476963010747565,0.92616022958977,-0.47846392851501346,False,False,False,mae_and_r2_loss,catastrophic
S5,0184,94.44702210744222,33.9217898305668,-60.52523227687542,0.6271741240518195,0.940767452398734,-0.31359332834691456,False,False,False,mae_and_r2_loss,catastrophic
S5,0185,54.56462058519062,28.7137097061649,-25.85091087902572,0.7690942349385893,0.933204700042314,-0.16411046510372473,False,False,False,mae_and_r2_loss,catastrophic
S5,0231,22.214211302537187,33.9258740268022,11.711662724265011,0.8864515296527827,0.621693500252094,0.2647580294006887,True,True,True,win,win
S5,0282,53.67190752029419,63.463565777981,9.791658257686812,0.2114851928130526,0.577510827965887,-0.3660256351528344,True,False,False,r2_only_loss,catastrophic
S5,0283,8.715506172180175,12.2678356216481,3.5523294494679245,0.7022735453870058,0.677449700232667,0.024823845154338775,True,True,True,win,win
S5,0372,32.70444997151693,61.4299210730023,28.72547110148537,0.9357875512802709,0.808884181677394,0.12690336960287696,True,True,True,win,win
S5,0373,21.867362213134765,66.7906687225068,44.923306509372026,0.9804246025316552,0.840554404158299,0.13987019837335624,True,True,True,win,win
S5,0374,34.3857224782308,63.0897014804951,28.703979002264305,0.9225040412202941,0.891166885696923,0.03133715552337102,True,True,True,win,win
S5,0375,29.448490015665687,70.572776310091,41.12428629442532,0.9714994044023875,0.831829721330745,0.13966968307164251,True,True,True,win,win
S5,0376,23.977705891927084,54.0008652458824,30.023159353955318,0.9819284688147591,0.883375361478511,0.09855310733624811,True,True,True,win,win
S5,0377,26.889856974283855,56.7929053899285,29.903048415644644,0.9404098282663778,0.874855452650536,0.06555437561584176,True,True,True,win,win
S5,0378,19.127324930826823,59.1080825753316,39.98075764450478,0.9796791202974067,0.879081758799406,0.10059736149800069,True,True,True,win,win
