archived_config_path,archived_file_sha1,canonical_config_path,canonical_normalized_sha1,note
configs/rplc_14x14_smoke_tmp.yaml,56ec2ce300ddf5c1f5daf52283cae1ac1d94a894,,b6024adfb775155eefe61e4316d2edca7f57323f,Archived temporary config removed during Phase 12; resolved snapshot preserved in experiments/configs/b6024adfb775155eefe61e4316d2edca7f57323f.yaml
configs/rplc_14x14_smoke_tmp2.yaml,d8f296b76787237787f5f9d3021f52491bf99fa8,,c3e40f9765c74b92e2d172ca035b604ade6e1abe,Archived temporary config removed during Phase 12; resolved snapshot preserved in experiments/configs/c3e40f9765c74b92e2d172ca035b604ade6e1abe.yaml
configs/rplc_14x14_smoke_tmp3.yaml,bc9bc5cff1b0f6ea71ea5b2f7d7eb6ab370ffffe,,a0bd434f569acb09751c0c5773291bbdf818b242,Archived temporary config removed during Phase 12; resolved snapshot preserved in experiments/configs/a0bd434f569acb09751c0c5773291bbdf818b242.yaml
configs/rplc_14x14_smoke_tmp4.yaml,1010204d62730baf7f4f47342afaff48908072be,,c0cf3c9f06821d96f9a89bc1bcc21e16c8be7dea,Archived temporary config removed during Phase 12; resolved snapshot preserved in experiments/configs/c0cf3c9f06821d96f9a89bc1bcc21e16c8be7dea.yaml
configs/rplc_14x14_smoke_tmp5.yaml,a47d5de2ffcd97da963316785a315f11bda5bb8b,,79fe1b61cae6b7648daab8854b10f7461ce87818,Archived temporary config removed during Phase 12; resolved snapshot preserved in experiments/configs/79fe1b61cae6b7648daab8854b10f7461ce87818.yaml
configs/tmp_opt_0032_hybrid_es_s60.yaml,457b6bca5ceb6b8866543e2fd4893104f4c69d92,,df35c9cb9f1e00b5a3316aaadfc334fb0202ba67,Archived temporary config removed during Phase 12; resolved snapshot preserved in experiments/configs/df35c9cb9f1e00b5a3316aaadfc334fb0202ba67.yaml
configs/tmp_opt_0050_hyper_s60.yaml,ea85af6a12b8e4b02521c7a2959af9ae450df5f1,,e0c40feed671621ba190e0b9ef73c777241006f5,Archived temporary config removed during Phase 12; resolved snapshot preserved in experiments/configs/e0c40feed671621ba190e0b9ef73c777241006f5.yaml
configs/tmp_s4_0261_local_fail.yaml,ae0566d6ca1acaf85d461bd8e3a78d4dadb30ed3,,8ccdded0310f2dcb8ec9390045958ed769156a28,Archived temporary config removed during Phase 12; resolved snapshot preserved in experiments/configs/8ccdded0310f2dcb8ec9390045958ed769156a28.yaml
configs/tmp_s4_0261_local_gradnorm.yaml,ba4ecdf103340674b0d9172efd563a3180fe3556,,3de2b40c4966636595bb8bf30181b09c2f5c1827,Archived temporary config removed during Phase 12; resolved snapshot preserved in experiments/configs/3de2b40c4966636595bb8bf30181b09c2f5c1827.yaml
configs/tmp_s4_0261_local_none.yaml,329bbd6a620edb0b802458b24fbd206db850198c,,15cc986549a77d6e2cc57821451e9d046c441f0b,Archived temporary config removed during Phase 12; resolved snapshot preserved in experiments/configs/15cc986549a77d6e2cc57821451e9d046c441f0b.yaml
configs/tmp_s4_0261_local_random.yaml,30310cd09222f35f25a5ccba2c969fbab5b6ef8e,,1af898fe45b4cedd28d6b9816afd9cf12af9101a,Archived temporary config removed during Phase 12; resolved snapshot preserved in experiments/configs/1af898fe45b4cedd28d6b9816afd9cf12af9101a.yaml
configs/tmp_s4_0261_local_random_gradnorm_fail.yaml,d18a06a6a9bc3ae03a7a3b9efaa7028c4840a4ff,,3e091a1222c208fe47c9430367f4971da79a6db2,Archived temporary config removed during Phase 12; resolved snapshot preserved in experiments/configs/3e091a1222c208fe47c9430367f4971da79a6db2.yaml
configs/tmp_s4_0261_v1_ad0_src01.yaml,dccb61b5baf9d756fbfd0849eee2b36294f573cf,,7979bea144cd9f9e583bb661c868c0ccafa7d866,Archived temporary config removed during Phase 12; resolved snapshot preserved in experiments/configs/7979bea144cd9f9e583bb661c868c0ccafa7d866.yaml
configs/tmp_s4_0261_v1_ad1_src005.yaml,31e1b2bc273cd82dd227ef0c07d7076694536b5b,,8b907c0722cb93e1c280dfc474261ad63b17ee08,Archived temporary config removed during Phase 12; resolved snapshot preserved in experiments/configs/8b907c0722cb93e1c280dfc474261ad63b17ee08.yaml
configs/tmp_s4_0261_v1_ad1_src01_log1p.yaml,c69f78fe0fecdd2a8e142a7ae43a9687c2891c4e,,5e1a916aac851c0b3ff86bb23a4dff835f1c800c,Archived temporary config removed during Phase 12; resolved snapshot preserved in experiments/configs/5e1a916aac851c0b3ff86bb23a4dff835f1c800c.yaml
configs/tmp_s4_0261_v1_ad1_src02.yaml,0957557153080f443e0a205962331a8a0640ddd4,,7050ae486cd29d8a95968c1cb20a3d3255f8475b,Archived temporary config removed during Phase 12; resolved snapshot preserved in experiments/configs/7050ae486cd29d8a95968c1cb20a3d3255f8475b.yaml
configs/tmp_s4_0261_v1_src005_calibfalse.yaml,aef7a948b4019e4b3bb9979262dd8dc6381b8816,,875d75a5243ff7d9fbc01e70f1745539dbf432a1,Archived temporary config removed during Phase 12; resolved snapshot preserved in experiments/configs/875d75a5243ff7d9fbc01e70f1745539dbf432a1.yaml
configs/tmp_s4_0261_v1_src005_maer2_top5_calibfalse.yaml,e75a52c883440b4a41dbad9b78382356920ee93e,,a5976b0b3660c0eecd772291faa6bbf4478ea89b,Archived temporary config removed during Phase 12; resolved snapshot preserved in experiments/configs/a5976b0b3660c0eecd772291faa6bbf4478ea89b.yaml
configs/tmp_search0276_n10_lam0_ad0.yaml,f00e5abbdc5ad735ce945722e18e546527713ee1,configs/rplc_14x14_cpvec_hyper_mdlmol_0276_n10.yaml,719d096d498a543a3e1aedd5eaacdc1597231a3f,Archived exact duplicate of configs/rplc_14x14_cpvec_hyper_mdlmol_0276_n10.yaml
configs/tmp_search0276_n5_lam0_ad0.yaml,2b3ad93773779a831ce5806f20adacd23d805ce5,,69fd29bf756d217a8d9451659dd312c5967939fa,Archived temporary config removed during Phase 12; resolved snapshot preserved in experiments/configs/69fd29bf756d217a8d9451659dd312c5967939fa.yaml
configs/tmp_search0276_n5_lam0_ad1.yaml,ef9562f6277f3d908399cc45067cebf136063163,,fc5099e906bda16a0779898b260558384c6186f4,Archived temporary config removed during Phase 12; resolved snapshot preserved in experiments/configs/fc5099e906bda16a0779898b260558384c6186f4.yaml
configs/tmp_search0276_n5_lam1_ad0.yaml,3dd87ec3265c73bad5dd27f72225e4e99af7f409,,c74cbf4bbb306b14a5ce4456dc8c371b0685a232,Archived temporary config removed during Phase 12; resolved snapshot preserved in experiments/configs/c74cbf4bbb306b14a5ce4456dc8c371b0685a232.yaml
configs/tmp_search0276_n8_lam0_ad0.yaml,1ce2af785bcf04d23d7ceca1796ae2cff50e5124,,0958a5e9374d003e656dc85f5c59bfadab032ca6,Archived temporary config removed during Phase 12; resolved snapshot preserved in experiments/configs/0958a5e9374d003e656dc85f5c59bfadab032ca6.yaml
configs/tmp_search0276_n8_lam0_ad1.yaml,af748421342a6d047f76681a54f17a2620079aaa,,c8ad94b7a59a92b2642b2abe5b9c7787617dd966,Archived temporary config removed during Phase 12; resolved snapshot preserved in experiments/configs/c8ad94b7a59a92b2642b2abe5b9c7787617dd966.yaml
configs/tmp_search0276_n8_lam1_ad0.yaml,a45fb0314278ed8c84ae2ada9ff2ecf738a6e449,,4ec88e13a049302c056660d9c1a94169d502ebea,Archived temporary config removed during Phase 12; resolved snapshot preserved in experiments/configs/4ec88e13a049302c056660d9c1a94169d502ebea.yaml
